X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-122.2964396,47.6248014,0,0,0,,2018/07/04 19:01:16+00,,,,,,,,,,,,,,,,,,,,,
-122.2964155,47.6248403,0,0,1,,2018/07/04 19:01:25+00,,,,,,,,,,,,,,,,,,,,,
-122.2963685,47.6248412,0,0,2,,2018/07/04 19:01:32+00,,,,,,,,,,,,,,,,,,,,,
-122.2963162,47.6248466,0,0,3,,2018/07/04 19:01:40+00,,,,,,,,,,,,,,,,,,,,,
-122.2962653,47.6248285,0,0,4,,2018/07/04 19:01:49+00,,,,,,,,,,,,,,,,,,,,,
-122.2962519,47.6247932,0,0,5,,2018/07/04 19:01:57+00,,,,,,,,,,,,,,,,,,,,,
-122.2962988,47.6247806,0,0,6,,2018/07/04 19:02:05+00,,,,,,,,,,,,,,,,,,,,,
-122.2963162,47.6248068,0,0,7,,2018/07/04 19:02:11+00,,,,,,,,,,,,,,,,,,,,,
-122.2963833,47.6247996,0,0,8,,2018/07/04 19:02:21+00,,,,,,,,,,,,,,,,,,,,,
-122.2963752,47.6247743,0,0,9,,2018/07/04 19:02:27+00,,,,,,,,,,,,,,,,,,,,,
-122.2964517,47.6247887,0,0,10,,2018/07/04 19:02:39+00,,,,,,,,,,,,,,,,,,,,,
-122.2965,47.6248574,0,0,11,,2018/07/04 19:02:56+00,,,,,,,,,,,,,,,,,,,,,
-122.2964356,47.624871,0,0,12,,2018/07/04 19:03:06+00,,,,,,,,,,,,,,,,,,,,,
-122.2963471,47.6248773,0,0,13,,2018/07/04 19:03:19+00,,,,,,,,,,,,,,,,,,,,,
-122.2962545,47.6248791,0,0,14,,2018/07/04 19:03:33+00,,,,,,,,,,,,,,,,,,,,,
-122.2962787,47.6248457,0,0,15,,2018/07/04 19:03:41+00,,,,,,,,,,,,,,,,,,,,,
-122.2963404,47.6248068,0,0,16,,2018/07/04 19:03:54+00,,,,,,,,,,,,,,,,,,,,,
-122.2964302,47.6248511,0,0,17,,2018/07/04 19:04:11+00,,,,,,,,,,,,,,,,,,,,,
-122.2964544,47.6248068,0,0,18,,2018/07/04 19:04:21+00,,,,,,,,,,,,,,,,,,,,,
-122.2965093,47.6247589,0,0,19,,2018/07/04 19:04:35+00,,,,,,,,,,,,,,,,,,,,,
-122.296508,47.6247697,0,0,20,,2018/07/04 19:04:37+00,,,,,,,,,,,,,,,,,,,,,
-122.2965187,47.6248113,0,0,21,,2018/07/04 19:04:46+00,,,,,,,,,,,,,,,,,,,,,
-122.2964356,47.6247887,0,0,22,,2018/07/04 19:05:00+00,,,,,,,,,,,,,,,,,,,,,
-122.2963873,47.6247707,0,0,23,,2018/07/04 19:05:08+00,,,,,,,,,,,,,,,,,,,,,
-122.296339,47.6247598,0,0,24,,2018/07/04 19:05:16+00,,,,,,,,,,,,,,,,,,,,,
-122.2962009,47.6249117,0,0,25,,2018/07/04 19:05:55+00,,,,,,,,,,,,,,,,,,,,,
-122.2962264,47.624843,0,0,26,,2018/07/04 19:06:11+00,,,,,,,,,,,,,,,,,,,,,
-122.2961995,47.6248068,0,0,27,,2018/07/04 19:06:20+00,,,,,,,,,,,,,,,,,,,,,
-122.296225,47.6247932,0,0,28,,2018/07/04 19:06:25+00,,,,,,,,,,,,,,,,,,,,,
-122.2962425,47.6247526,0,0,29,,2018/07/04 19:06:34+00,,,,,,,,,,,,,,,,,,,,,
-122.2963404,47.6247833,0,0,30,,2018/07/04 19:06:50+00,,,,,,,,,,,,,,,,,,,,,
-122.2963001,47.624861,0,0,31,,2018/07/04 19:07:09+00,,,,,,,,,,,,,,,,,,,,,
-122.296339,47.6248945,0,0,32,,2018/07/04 19:07:18+00,,,,,,,,,,,,,,,,,,,,,
-122.2964396,47.6248936,0,0,33,,2018/07/04 19:07:33+00,,,,,,,,,,,,,,,,,,,,,
-122.2964758,47.6248466,0,0,34,,2018/07/04 19:07:45+00,,,,,,,,,,,,,,,,,,,,,
-122.2965362,47.6248412,0,0,35,,2018/07/04 19:07:54+00,,,,,,,,,,,,,,,,,,,,,
-122.2965214,47.6248945,0,0,36,,2018/07/04 19:08:06+00,,,,,,,,,,,,,,,,,,,,,
-122.2964852,47.6248845,0,0,37,,2018/07/04 19:08:12+00,,,,,,,,,,,,,,,,,,,,,
-122.296398,47.6249035,0,0,38,,2018/07/04 19:08:26+00,,,,,,,,,,,,,,,,,,,,,
-122.2963028,47.6249071,0,0,39,,2018/07/04 19:08:40+00,,,,,,,,,,,,,,,,,,,,,
-122.2962639,47.6248882,0,0,40,,2018/07/04 19:08:47+00,,,,,,,,,,,,,,,,,,,,,
-122.2961767,47.6248791,0,0,41,,2018/07/04 19:09:00+00,,,,,,,,,,,,,,,,,,,,,
-122.2961928,47.6248457,0,0,42,,2018/07/04 19:09:08+00,,,,,,,,,,,,,,,,,,,,,
-122.2962291,47.6248158,0,0,43,,2018/07/04 19:09:17+00,,,,,,,,,,,,,,,,,,,,,
-122.2963994,47.6248104,0,0,44,,2018/07/04 19:09:42+00,,,,,,,,,,,,,,,,,,,,,
-122.2964222,47.6247517,0,0,45,,2018/07/04 19:09:56+00,,,,,,,,,,,,,,,,,,,,,
-122.296339,47.6247417,0,0,46,,2018/07/04 19:10:09+00,,,,,,,,,,,,,,,,,,,,,
-122.2962679,47.6247688,0,0,47,,2018/07/04 19:10:21+00,,,,,,,,,,,,,,,,,,,,,
-122.2961486,47.6247562,0,0,48,,2018/07/04 19:10:39+00,,,,,,,,,,,,,,,,,,,,,
-122.2963739,47.6248592,0,0,49,,2018/07/04 19:11:20+00,,,,,,,,,,,,,,,,,,,,,
-122.2963886,47.6248836,0,0,50,,2018/07/04 19:11:26+00,,,,,,,,,,,,,,,,,,,,,
-122.2964168,47.6248565,0,0,51,,2018/07/04 19:11:33+00,,,,,,,,,,,,,,,,,,,,,
-122.2963511,47.6248303,0,0,52,,2018/07/04 19:11:44+00,,,,,,,,,,,,,,,,,,,,,
-122.2964101,47.6248086,0,0,53,,2018/07/04 19:11:54+00,,,,,,,,,,,,,,,,,,,,,
-122.296394,47.6247887,0,0,54,,2018/07/04 19:11:59+00,,,,,,,,,,,,,,,,,,,,,
-122.2964007,47.6247598,0,0,55,,2018/07/04 19:12:06+00,,,,,,,,,,,,,,,,,,,,,
